;NSst:G;NSlf:G;EWst:G;EWlf:G
0;15.311000000000025;-1.6049999999999993;24.053999999999995;-2.6359999999999992
1;0.34799999999999986;-1.7859999999999998;0.974;-2.6510000000000002
0;-0.692;-1.3059999999999998;-0.276;-1.8750000000000002
1;-0.734;-1.505;-0.28800000000000003;-2.01
0;-0.7290000000000001;-1.2610000000000001;-0.35900000000000004;-0.8630000000000001
1;-1.117;-1.123;-0.647;-0.681
0;-0.665;-0.329;-0.257;-1.2650000000000001
1;-0.78;-0.208;-0.226;-0.893
0;-0.151;-0.09;-0.175;0.0
1;-0.166;-0.167;-0.314;-0.408
0;0.0;-0.51;-0.09;0.0
1;0.0;-0.168;0.0;0.0
0;0.0;0.0;0.0;-0.448
1;-0.227;0.0;-0.207;-0.374
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;38.594999999999985;-23.299000000000095;50.26299999999981;-27.339999999999932
1;8.331999999999995;-24.079000000000022;12.972000000000012;-28.945999999999913
0;-7.888;-44.550999999999995;-4.636;-57.46699999999995
1;-7.8290000000000015;-45.59699999999995;-4.686999999999994;-57.38800000000001
0;-4.903;-43.40700000000006;-3.1710000000000003;-51.41099999999997
1;-4.882;-41.014;-3.088;-51.38700000000003
0;-3.7569999999999997;-32.33700000000001;-2.1810000000000005;-32.495000000000005
1;-4.035000000000001;-28.45299999999997;-2.0309999999999997;-33.927
0;-2.439;-17.888;-0.9109999999999999;-26.140000000000004
1;-2.568;-18.091999999999995;-1.233;-20.838000000000005
0;-2.4570000000000003;-12.319;-0.436;-9.35
1;-2.3709999999999996;-10.181000000000003;-0.338;-15.139000000000005
0;-1.05;-6.227;-0.7230000000000001;-11.15
1;-0.8820000000000001;-5.694;-1.7489999999999997;-12.401
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.9870000000000001;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
